test_suite,framework,count,mean,median,std,sem,ci95
calculator,pytest,10,0.27068965435028075,0.27317750453948975,0.013049355940581726,0.004126568677048712,0.008088074607015475
calculator,unittest,10,0.11357758045196534,0.11509883403778076,0.006336019677661226,0.002003625348105535,0.003927105682286849
fibonacci,pytest,10,0.2774052143096924,0.2771463394165039,0.014722054657836244,0.004655522455625338,0.009124824013025662
fibonacci,unittest,10,0.10980360507965088,0.10765790939331055,0.006214143371341573,0.001965084676027687,0.003851565965014267
